Namespace(image='library', model='ce_skip_depth4')
Number of params: 1060339
Starting optimization with ADAM
Iteration 00185    Loss 0.016570 
Iteration 00186    Loss 0.016487 
Iteration 00187    Loss 0.016233 
Iteration 00188    Loss 0.016211 
Iteration 00189    Loss 0.015884 
Iteration 00190    Loss 0.015887 
Iteration 00191    Loss 0.015666 
Iteration 00192    Loss 0.015616 
Iteration 00193    Loss 0.015384 
Iteration 00194    Loss 0.015334 
Iteration 00195    Loss 0.015202 
Iteration 00196    Loss 0.015078 
Iteration 00197    Loss 0.014977 
Iteration 00198    Loss 0.014867 
Iteration 00199    Loss 0.014797 
Iteration 00200    Loss 0.014783 
Iteration 00201    Loss 0.015031 
Iteration 00202    Loss 0.015629 
Iteration 00203    Loss 0.017192 
Iteration 00204    Loss 0.015356 
Iteration 00205    Loss 0.016037 
Iteration 00206    Loss 0.015471 
Iteration 00207    Loss 0.015488 
Iteration 00208    Loss 0.015531 
Iteration 00209    Loss 0.015084 
Iteration 00210    Loss 0.015201 
Iteration 00211    Loss 0.014727 
Iteration 00212    Loss 0.014674 
Iteration 00213    Loss 0.014491 
Iteration 00214    Loss 0.014475 
Iteration 00215    Loss 0.014444 
Iteration 00216    Loss 0.014461 
Iteration 00217    Loss 0.014492 
Iteration 00218    Loss 0.014213 
Iteration 00219    Loss 0.014060 
Iteration 00220    Loss 0.013760 
Iteration 00221    Loss 0.013627 
Iteration 00222    Loss 0.013602 
Iteration 00223    Loss 0.013551 
Iteration 00224    Loss 0.013681 
Iteration 00225    Loss 0.013699 
Iteration 00226    Loss 0.014125 
Iteration 00227    Loss 0.013910 
Iteration 00228    Loss 0.013628 
Iteration 00229    Loss 0.013131 
Iteration 00230    Loss 0.013028 
Iteration 00231    Loss 0.013252 
Iteration 00232    Loss 0.013176 
Iteration 00233    Loss 0.013174 
Iteration 00234    Loss 0.012953 
Iteration 00235    Loss 0.013392 
Iteration 00236    Loss 0.013829 
Iteration 00237    Loss 0.012994 
Iteration 00238    Loss 0.013007 
Iteration 00239    Loss 0.013325 
Iteration 00240    Loss 0.012937 
Iteration 00241    Loss 0.012917 
Iteration 00242    Loss 0.012701 
Iteration 00243    Loss 0.012629 
Iteration 00244    Loss 0.012455 
Iteration 00245    Loss 0.012379 
Iteration 00246    Loss 0.012384 
Iteration 00247    Loss 0.012252 
Iteration 00248    Loss 0.012408 
Iteration 00249    Loss 0.012678 
Iteration 00250    Loss 0.013835 
Iteration 00251    Loss 0.012770 
Iteration 00252    Loss 0.012258 
Iteration 00253    Loss 0.012319 
