Namespace(image='library', model='UNET')
zero
zero
zero
zero
zero
zero
zero
zero
zero
zero
zero
Number of params: 1616315
Starting optimization with ADAM
Iteration 00184    Loss 0.031985 
Iteration 00185    Loss 0.031914 
Iteration 00186    Loss 0.032125 
Iteration 00187    Loss 0.032071 
Iteration 00188    Loss 0.031836 
Iteration 00189    Loss 0.031637 
Iteration 00190    Loss 0.031560 
Iteration 00191    Loss 0.031644 
Iteration 00192    Loss 0.031749 
Iteration 00193    Loss 0.031750 
Iteration 00194    Loss 0.031503 
Iteration 00195    Loss 0.031290 
Iteration 00196    Loss 0.031234 
Iteration 00197    Loss 0.031306 
Iteration 00198    Loss 0.031504 
Iteration 00199    Loss 0.031674 
Iteration 00200    Loss 0.031519 
Iteration 00201    Loss 0.031150 
Iteration 00202    Loss 0.031004 
Iteration 00203    Loss 0.031125 
Iteration 00204    Loss 0.031292 
Iteration 00205    Loss 0.031322 
Iteration 00206    Loss 0.030960 
Iteration 00207    Loss 0.030694 
Iteration 00208    Loss 0.030717 
Iteration 00209    Loss 0.030808 
Iteration 00210    Loss 0.030732 
Iteration 00211    Loss 0.030439 
Iteration 00212    Loss 0.030174 
Iteration 00213    Loss 0.030083 
Iteration 00214    Loss 0.030099 
Iteration 00215    Loss 0.030272 
Iteration 00216    Loss 0.030344 
Iteration 00217    Loss 0.030325 
Iteration 00218    Loss 0.029834 
Iteration 00219    Loss 0.029604 
Iteration 00220    Loss 0.029597 
Iteration 00221    Loss 0.029742 
Iteration 00222    Loss 0.029907 
Iteration 00223    Loss 0.029442 
Iteration 00224    Loss 0.029128 
Iteration 00225    Loss 0.028909 
Iteration 00226    Loss 0.028876 
Iteration 00227    Loss 0.029012 
Iteration 00228    Loss 0.029194 
Iteration 00229    Loss 0.029310 
Iteration 00230    Loss 0.028981 
Iteration 00231    Loss 0.028534 
Iteration 00232    Loss 0.028268 
Iteration 00233    Loss 0.028297 
Iteration 00234    Loss 0.028531 
Iteration 00235    Loss 0.028875 
Iteration 00236    Loss 0.028975 
Iteration 00237    Loss 0.028336 
Iteration 00238    Loss 0.027899 
Iteration 00239    Loss 0.027914 
Iteration 00240    Loss 0.028164 
Iteration 00241    Loss 0.028473 
Iteration 00242    Loss 0.028048 
Iteration 00243    Loss 0.027627 
Iteration 00244    Loss 0.027405 
Iteration 00245    Loss 0.027544 
Iteration 00246    Loss 0.027775 
Iteration 00247    Loss 0.027821 
Iteration 00248    Loss 0.027563 
Iteration 00249    Loss 0.027155 
Iteration 00250    Loss 0.026979 
Iteration 00251    Loss 0.027172 
Iteration 00252    Loss 0.027381 
Iteration 00253    Loss 0.027688 
Iteration 00254    Loss 0.027586 
Iteration 00255    Loss 0.027171 
Iteration 00256    Loss 0.026731 
Iteration 00257    Loss 0.026720 
Iteration 00258    Loss 0.026946 
Iteration 00259    Loss 0.027293 
Iteration 00260    Loss 0.027188 
Iteration 00261    Loss 0.026820 
Iteration 00262    Loss 0.026325 
Iteration 00263    Loss 0.026398 
Iteration 00264    Loss 0.026513 
Iteration 00265    Loss 0.026891 
Iteration 00266    Loss 0.027069 
Iteration 00267    Loss 0.027071 
Iteration 00268    Loss 0.026626 
Iteration 00269    Loss 0.026274 
Iteration 00270    Loss 0.026258 
Iteration 00271    Loss 0.026377 
Iteration 00272    Loss 0.026364 
Iteration 00273    Loss 0.026591 
Iteration 00274    Loss 0.026246 
Iteration 00275    Loss 0.025931 
Iteration 00276    Loss 0.025813 
Iteration 00277    Loss 0.025763 
Iteration 00278    Loss 0.025825 
Iteration 00279    Loss 0.025851 
Iteration 00280    Loss 0.025744 
Iteration 00281    Loss 0.025606 
Iteration 00282    Loss 0.025409 
Iteration 00283    Loss 0.025298 
Iteration 00284    Loss 0.025264 
Iteration 00285    Loss 0.025237 
Iteration 00286    Loss 0.025308 
Iteration 00287    Loss 0.025490 
Iteration 00288    Loss 0.025842 
Iteration 00289    Loss 0.025959 
Iteration 00290    Loss 0.025850 
Iteration 00291    Loss 0.025202 
Iteration 00292    Loss 0.024754 
Iteration 00293    Loss 0.024735 
Iteration 00294    Loss 0.025082 
Iteration 00295    Loss 0.025543 
Iteration 00296    Loss 0.025614 
Iteration 00297    Loss 0.025213 
Iteration 00298    Loss 0.024532 
Iteration 00299    Loss 0.024506 
Iteration 00300    Loss 0.024917 
Iteration 00301    Loss 0.025019 
Iteration 00302    Loss 0.024662 
Iteration 00303    Loss 0.024149 
Iteration 00304    Loss 0.024229 
Iteration 00305    Loss 0.024513 
Iteration 00306    Loss 0.024495 
Iteration 00307    Loss 0.024120 
Iteration 00308    Loss 0.023789 
Iteration 00309    Loss 0.023769 
Iteration 00310    Loss 0.023893 
Iteration 00311    Loss 0.023990 
Iteration 00312    Loss 0.023920 
Iteration 00313    Loss 0.023589 
Iteration 00314    Loss 0.023351 
Iteration 00315    Loss 0.023323 
Iteration 00316    Loss 0.023359 
Iteration 00317    Loss 0.023498 
Iteration 00318    Loss 0.023523 
Iteration 00319    Loss 0.023584 
Iteration 00320    Loss 0.023803 
Iteration 00321    Loss 0.023817 
Iteration 00322    Loss 0.023525 
Iteration 00323    Loss 0.022721 
Iteration 00324    Loss 0.023207 
Iteration 00325    Loss 0.022712 
Iteration 00326    Loss 0.023089 
Iteration 00327    Loss 0.023130 
Iteration 00328    Loss 0.022975 
Iteration 00329    Loss 0.022912 
Iteration 00330    Loss 0.022619 
