Namespace(image='library', model='ResNet')
Number of params: 158979
Starting optimization with ADAM
Iteration 00186    Loss 0.021025 
Iteration 00187    Loss 0.021014 
Iteration 00188    Loss 0.021688 
Iteration 00189    Loss 0.021678 
Iteration 00190    Loss 0.021856 
Iteration 00191    Loss 0.020683 
Iteration 00192    Loss 0.021786 
Iteration 00193    Loss 0.020843 
Iteration 00194    Loss 0.020622 
Iteration 00195    Loss 0.020738 
Iteration 00196    Loss 0.020686 
Iteration 00197    Loss 0.020439 
Iteration 00198    Loss 0.020350 
Iteration 00199    Loss 0.020223 
Iteration 00200    Loss 0.019884 
Iteration 00201    Loss 0.020145 
Iteration 00202    Loss 0.019748 
Iteration 00203    Loss 0.019876 
Iteration 00204    Loss 0.019947 
Iteration 00205    Loss 0.019916 
Iteration 00206    Loss 0.020391 
Iteration 00207    Loss 0.020280 
Iteration 00208    Loss 0.020244 
Iteration 00209    Loss 0.020123 
Iteration 00210    Loss 0.019894 
Iteration 00211    Loss 0.019537 
Iteration 00212    Loss 0.019278 
Iteration 00213    Loss 0.019470 
Iteration 00214    Loss 0.019814 
Iteration 00215    Loss 0.019724 
Iteration 00216    Loss 0.019212 
Iteration 00217    Loss 0.019272 
Iteration 00218    Loss 0.019721 
Iteration 00219    Loss 0.019250 
Iteration 00220    Loss 0.018648 
Iteration 00221    Loss 0.018674 
Iteration 00222    Loss 0.018966 
Iteration 00223    Loss 0.018628 
Iteration 00224    Loss 0.018602 
Iteration 00225    Loss 0.018921 
Iteration 00226    Loss 0.018644 
Iteration 00227    Loss 0.018659 
Iteration 00228    Loss 0.018919 
Iteration 00229    Loss 0.019209 
Iteration 00230    Loss 0.018917 
Iteration 00231    Loss 0.018513 
Iteration 00232    Loss 0.018224 
Iteration 00233    Loss 0.018220 
Iteration 00234    Loss 0.018338 
Iteration 00235    Loss 0.017867 
Iteration 00236    Loss 0.017913 
Iteration 00237    Loss 0.017858 
Iteration 00238    Loss 0.017823 
Iteration 00239    Loss 0.017582 
Iteration 00240    Loss 0.017739 
Iteration 00241    Loss 0.017888 
Iteration 00242    Loss 0.017933 
Iteration 00243    Loss 0.018026 
Iteration 00244    Loss 0.018405 
Iteration 00245    Loss 0.019294 
Iteration 00246    Loss 0.018938 
Iteration 00247    Loss 0.018536 
Iteration 00248    Loss 0.018316 
Iteration 00249    Loss 0.017866 
Iteration 00250    Loss 0.018035 
Iteration 00251    Loss 0.017947 
Iteration 00252    Loss 0.017721 
Iteration 00253    Loss 0.017647 
Iteration 00254    Loss 0.017683 
Iteration 00255    Loss 0.017668 
Iteration 00256    Loss 0.017361 
Iteration 00257    Loss 0.017486 
Iteration 00258    Loss 0.017155 
Iteration 00259    Loss 0.017071 
Iteration 00260    Loss 0.016886 
Iteration 00261    Loss 0.016965 
Iteration 00262    Loss 0.017545 
Iteration 00263    Loss 0.017467 
Iteration 00264    Loss 0.016806 
Iteration 00265    Loss 0.016704 
Iteration 00266    Loss 0.016916 
Iteration 00267    Loss 0.016704 
Iteration 00268    Loss 0.016487 
Iteration 00269    Loss 0.016359 
Iteration 00270    Loss 0.016437 
Iteration 00271    Loss 0.016348 
Iteration 00272    Loss 0.016321 
Iteration 00273    Loss 0.016096 
Iteration 00274    Loss 0.016217 
Iteration 00275    Loss 0.016105 
Iteration 00276    Loss 0.015851 
Iteration 00277    Loss 0.015859 
Iteration 00278    Loss 0.015995 
Iteration 00279    Loss 0.016316 
Iteration 00280    Loss 0.016796 
Iteration 00281    Loss 0.017515 
Iteration 00282    Loss 0.017432 
Iteration 00283    Loss 0.017753 
Iteration 00284    Loss 0.017703 
Iteration 00285    Loss 0.016614 
Iteration 00286    Loss 0.016785 
Iteration 00287    Loss 0.016446 
Iteration 00288    Loss 0.016271 
Iteration 00289    Loss 0.016372 
Iteration 00290    Loss 0.016275 
Iteration 00291    Loss 0.015939 
Iteration 00292    Loss 0.015876 
Iteration 00293    Loss 0.015904 
Iteration 00294    Loss 0.015709 
Iteration 00295    Loss 0.015343 
