Namespace(image='library', model='skip_depth2')
Number of params: 59635
Starting optimization with ADAM
Iteration 00185    Loss 0.006935 
Iteration 00186    Loss 0.006953 
Iteration 00187    Loss 0.007066 
Iteration 00188    Loss 0.007163 
Iteration 00189    Loss 0.007264 
Iteration 00190    Loss 0.007207 
Iteration 00191    Loss 0.006862 
Iteration 00192    Loss 0.006735 
Iteration 00193    Loss 0.006764 
Iteration 00194    Loss 0.006870 
Iteration 00195    Loss 0.006878 
Iteration 00196    Loss 0.006659 
Iteration 00197    Loss 0.006628 
Iteration 00198    Loss 0.006679 
Iteration 00199    Loss 0.006783 
Iteration 00200    Loss 0.006844 
Iteration 00201    Loss 0.006918 
Iteration 00202    Loss 0.007146 
Iteration 00203    Loss 0.007194 
Iteration 00204    Loss 0.006824 
Iteration 00205    Loss 0.006628 
Iteration 00206    Loss 0.006779 
Iteration 00207    Loss 0.006761 
Iteration 00208    Loss 0.006481 
Iteration 00209    Loss 0.006429 
Iteration 00210    Loss 0.006527 
Iteration 00211    Loss 0.006382 
Iteration 00212    Loss 0.006307 
Iteration 00213    Loss 0.006353 
Iteration 00214    Loss 0.006271 
Iteration 00215    Loss 0.006223 
Iteration 00216    Loss 0.006249 
Iteration 00217    Loss 0.006224 
Iteration 00218    Loss 0.006169 
Iteration 00219    Loss 0.006175 
Iteration 00220    Loss 0.006268 
Iteration 00221    Loss 0.006444 
Iteration 00222    Loss 0.006732 
Iteration 00223    Loss 0.007034 
Iteration 00224    Loss 0.006786 
Iteration 00225    Loss 0.006295 
Iteration 00226    Loss 0.006407 
Iteration 00227    Loss 0.006666 
Iteration 00228    Loss 0.006359 
Iteration 00229    Loss 0.006174 
Iteration 00230    Loss 0.006349 
Iteration 00231    Loss 0.006295 
Iteration 00232    Loss 0.006174 
Iteration 00233    Loss 0.006241 
Iteration 00234    Loss 0.006234 
Iteration 00235    Loss 0.006203 
Iteration 00236    Loss 0.006131 
Iteration 00237    Loss 0.006035 
Iteration 00238    Loss 0.006022 
Iteration 00239    Loss 0.005921 
Iteration 00240    Loss 0.005814 
Iteration 00241    Loss 0.005844 
Iteration 00242    Loss 0.005858 
Iteration 00243    Loss 0.005780 
Iteration 00244    Loss 0.005780 
Iteration 00245    Loss 0.005835 
Iteration 00246    Loss 0.005843 
Iteration 00247    Loss 0.005908 
Iteration 00248    Loss 0.006025 
Iteration 00249    Loss 0.006098 
Iteration 00250    Loss 0.006176 
Iteration 00251    Loss 0.006313 
Iteration 00252    Loss 0.006476 
Iteration 00253    Loss 0.006698 
Iteration 00254    Loss 0.006779 
Iteration 00255    Loss 0.006157 
Iteration 00256    Loss 0.006114 
Iteration 00257    Loss 0.006369 
Iteration 00258    Loss 0.005849 
Iteration 00259    Loss 0.005936 
Iteration 00260    Loss 0.006080 
Iteration 00261    Loss 0.005700 
Iteration 00262    Loss 0.005840 
Iteration 00263    Loss 0.005821 
Iteration 00264    Loss 0.005647 
Iteration 00265    Loss 0.005693 
Iteration 00266    Loss 0.005606 
Iteration 00267    Loss 0.005584 
Iteration 00268    Loss 0.005535 
Iteration 00269    Loss 0.005491 
Iteration 00270    Loss 0.005507 
Iteration 00271    Loss 0.005406 
Iteration 00272    Loss 0.005399 
Iteration 00273    Loss 0.005437 
Iteration 00274    Loss 0.005342 
Iteration 00275    Loss 0.005374 
Iteration 00276    Loss 0.005500 
Iteration 00277    Loss 0.005634 
Iteration 00278    Loss 0.006126 
Iteration 00279    Loss 0.006912 
Iteration 00280    Loss 0.006755 
Iteration 00281    Loss 0.005815 
Iteration 00282    Loss 0.005920 
Iteration 00283    Loss 0.006253 
Iteration 00284    Loss 0.005644 
