Namespace(image='vase', model='ce_skip_depth4')
Number of params: 2157955
Starting optimization with ADAM
Iteration 00185    Loss 0.013211 
Iteration 00186    Loss 0.012840 
Iteration 00187    Loss 0.013093 
Iteration 00188    Loss 0.013584 
Iteration 00189    Loss 0.012669 
Iteration 00190    Loss 0.012887 
Iteration 00191    Loss 0.012712 
Iteration 00192    Loss 0.012660 
Iteration 00193    Loss 0.012460 
Iteration 00194    Loss 0.012330 
Iteration 00195    Loss 0.012355 
Iteration 00196    Loss 0.012148 
Iteration 00197    Loss 0.012160 
Iteration 00198    Loss 0.012042 
Iteration 00199    Loss 0.011957 
Iteration 00200    Loss 0.011946 
Iteration 00201    Loss 0.011811 
Iteration 00202    Loss 0.011856 
Iteration 00203    Loss 0.012168 
Iteration 00204    Loss 0.012254 
Iteration 00205    Loss 0.012283 
Iteration 00206    Loss 0.011718 
Iteration 00207    Loss 0.011790 
Iteration 00208    Loss 0.011795 
Iteration 00209    Loss 0.011655 
Iteration 00210    Loss 0.011570 
Iteration 00211    Loss 0.011665 
Iteration 00212    Loss 0.011567 
Iteration 00213    Loss 0.011418 
Iteration 00214    Loss 0.011308 
Iteration 00215    Loss 0.011402 
Iteration 00216    Loss 0.011263 
Iteration 00217    Loss 0.011248 
Iteration 00218    Loss 0.011350 
Iteration 00219    Loss 0.012031 
Iteration 00220    Loss 0.013340 
Iteration 00221    Loss 0.013668 
Iteration 00222    Loss 0.012065 
Iteration 00223    Loss 0.012435 
Iteration 00224    Loss 0.011972 
Iteration 00225    Loss 0.012146 
Iteration 00226    Loss 0.011933 
Iteration 00227    Loss 0.011921 
Iteration 00228    Loss 0.011798 
Iteration 00229    Loss 0.011607 
Iteration 00230    Loss 0.011545 
Iteration 00231    Loss 0.011539 
Iteration 00232    Loss 0.011360 
Iteration 00233    Loss 0.011292 
Iteration 00234    Loss 0.011231 
Iteration 00235    Loss 0.011323 
Iteration 00236    Loss 0.011264 
Iteration 00237    Loss 0.011343 
Iteration 00238    Loss 0.011220 
Iteration 00239    Loss 0.011200 
Iteration 00240    Loss 0.011261 
Iteration 00241    Loss 0.011311 
Iteration 00242    Loss 0.011448 
Iteration 00243    Loss 0.011297 
Iteration 00244    Loss 0.011048 
Iteration 00245    Loss 0.011027 
Iteration 00246    Loss 0.011570 
Iteration 00247    Loss 0.011128 
Iteration 00248    Loss 0.010980 
Iteration 00249    Loss 0.010951 
Iteration 00250    Loss 0.010945 
Iteration 00251    Loss 0.010748 
Iteration 00252    Loss 0.010813 
Iteration 00253    Loss 0.010703 
Iteration 00254    Loss 0.010621 
Iteration 00255    Loss 0.010486 
Iteration 00256    Loss 0.010470 
Iteration 00257    Loss 0.010398 
Iteration 00258    Loss 0.010387 
Iteration 00259    Loss 0.010705 
Iteration 00260    Loss 0.012807 
Iteration 00261    Loss 0.016237 
Iteration 00262    Loss 0.013963 
Iteration 00263    Loss 0.013034 
Iteration 00264    Loss 0.013715 
Iteration 00265    Loss 0.012598 
Iteration 00266    Loss 0.012808 
Iteration 00267    Loss 0.012856 
Iteration 00268    Loss 0.012421 
Iteration 00269    Loss 0.012262 
Iteration 00270    Loss 0.012020 
Iteration 00271    Loss 0.011917 
Iteration 00272    Loss 0.011944 
Iteration 00273    Loss 0.011472 
Iteration 00274    Loss 0.011658 
Iteration 00275    Loss 0.011367 
Iteration 00276    Loss 0.011489 
Iteration 00277    Loss 0.011744 
Iteration 00278    Loss 0.011437 
Iteration 00279    Loss 0.011166 
Iteration 00280    Loss 0.011282 
Iteration 00281    Loss 0.010978 
Iteration 00282    Loss 0.010977 
Iteration 00283    Loss 0.010867 
Iteration 00284    Loss 0.010786 
Iteration 00285    Loss 0.010622 
Iteration 00286    Loss 0.010609 
Iteration 00287    Loss 0.010546 
Iteration 00288    Loss 0.010439 
Iteration 00289    Loss 0.010389 
Iteration 00290    Loss 0.010369 
Iteration 00291    Loss 0.010223 
Iteration 00292    Loss 0.010283 
Iteration 00293    Loss 0.010220 
Iteration 00294    Loss 0.010123 
Iteration 00295    Loss 0.010208 
Iteration 00296    Loss 0.010124 
Iteration 00297    Loss 0.010068 
Iteration 00298    Loss 0.009916 
Iteration 00299    Loss 0.009840 
Iteration 00300    Loss 0.009872 
Iteration 00301    Loss 0.009784 
Iteration 00302    Loss 0.009784 
Iteration 00303    Loss 0.009756 
Iteration 00304    Loss 0.009657 
Iteration 00305    Loss 0.009724 
Iteration 00306    Loss 0.009738 
Iteration 00307    Loss 0.009838 
Iteration 00308    Loss 0.009853 
Iteration 00309    Loss 0.009852 
Iteration 00310    Loss 0.010173 
Iteration 00311    Loss 0.010393 
Iteration 00312    Loss 0.010357 
Iteration 00313    Loss 0.009900 
Iteration 00314    Loss 0.009809 
Iteration 00315    Loss 0.009925 
Iteration 00316    Loss 0.009655 
Iteration 00317    Loss 0.009753 
Iteration 00318    Loss 0.009548 
Iteration 00319    Loss 0.009515 
Iteration 00320    Loss 0.009570 
Iteration 00321    Loss 0.009393 
Iteration 00322    Loss 0.009437 
Iteration 00323    Loss 0.009332 
Iteration 00324    Loss 0.009241 
Iteration 00325    Loss 0.009317 
Iteration 00326    Loss 0.009407 
Iteration 00327    Loss 0.010030 
Iteration 00328    Loss 0.009916 
Iteration 00329    Loss 0.010117 
Iteration 00330    Loss 0.009662 
Iteration 00331    Loss 0.009756 
Iteration 00332    Loss 0.009498 
Iteration 00333    Loss 0.009520 
Iteration 00334    Loss 0.009399 
Iteration 00335    Loss 0.009370 
Iteration 00336    Loss 0.009188 
Iteration 00337    Loss 0.009181 
Iteration 00338    Loss 0.009242 
Iteration 00339    Loss 0.009082 
Iteration 00340    Loss 0.009000 
Iteration 00341    Loss 0.009065 
Iteration 00342    Loss 0.008909 
Iteration 00343    Loss 0.008947 
Iteration 00344    Loss 0.008815 
Iteration 00345    Loss 0.008803 
Iteration 00346    Loss 0.008896 
Iteration 00347    Loss 0.009038 
Iteration 00348    Loss 0.009466 
Iteration 00349    Loss 0.009311 
Iteration 00350    Loss 0.009211 
Iteration 00351    Loss 0.008839 
Iteration 00352    Loss 0.008947 
Iteration 00353    Loss 0.008863 
Iteration 00354    Loss 0.008750 
Iteration 00355    Loss 0.008692 
Iteration 00356    Loss 0.008549 
Iteration 00357    Loss 0.008483 
Iteration 00358    Loss 0.008603 
Iteration 00359    Loss 0.008586 
Iteration 00360    Loss 0.009239 
Iteration 00361    Loss 0.009351 
Iteration 00362    Loss 0.009397 
Iteration 00363    Loss 0.009068 
Iteration 00364    Loss 0.008572 
Iteration 00365    Loss 0.008879 
Iteration 00366    Loss 0.008824 
Iteration 00367    Loss 0.008555 
Iteration 00368    Loss 0.008461 
Iteration 00369    Loss 0.008579 
Iteration 00370    Loss 0.008305 
Iteration 00371    Loss 0.008465 
Iteration 00372    Loss 0.008164 
Iteration 00373    Loss 0.008149 
Iteration 00374    Loss 0.008179 
Iteration 00375    Loss 0.008036 
Iteration 00376    Loss 0.008151 
Iteration 00377    Loss 0.007966 
Iteration 00378    Loss 0.007986 
Iteration 00379    Loss 0.007836 
Iteration 00380    Loss 0.007866 
Iteration 00381    Loss 0.008007 
Iteration 00382    Loss 0.008493 
Iteration 00383    Loss 0.008098 
Iteration 00384    Loss 0.007922 
Iteration 00385    Loss 0.008101 
Iteration 00386    Loss 0.008000 
Iteration 00387    Loss 0.007893 
Iteration 00388    Loss 0.007818 
Iteration 00389    Loss 0.007737 
Iteration 00390    Loss 0.007703 
Iteration 00391    Loss 0.007656 
Iteration 00392    Loss 0.007680 
Iteration 00393    Loss 0.007780 
Iteration 00394    Loss 0.007870 
Iteration 00395    Loss 0.008097 
Iteration 00396    Loss 0.008173 
Iteration 00397    Loss 0.008002 
Iteration 00398    Loss 0.007969 
Iteration 00399    Loss 0.007569 
Iteration 00400    Loss 0.007600 
Iteration 00401    Loss 0.007590 
Iteration 00402    Loss 0.007434 
Iteration 00403    Loss 0.007433 
Iteration 00404    Loss 0.007265 
Iteration 00405    Loss 0.007454 
Iteration 00406    Loss 0.007294 
Iteration 00407    Loss 0.007332 
Iteration 00408    Loss 0.007362 
Iteration 00409    Loss 0.007468 
Iteration 00410    Loss 0.007542 
Iteration 00411    Loss 0.007663 
Iteration 00412    Loss 0.008001 
Iteration 00413    Loss 0.007775 
Iteration 00414    Loss 0.007528 
Iteration 00415    Loss 0.007554 
Iteration 00416    Loss 0.007857 
Iteration 00417    Loss 0.007422 
Iteration 00418    Loss 0.007591 
Iteration 00419    Loss 0.007555 
Iteration 00420    Loss 0.007478 
Iteration 00421    Loss 0.007396 
Iteration 00422    Loss 0.007190 
Iteration 00423    Loss 0.007169 
Iteration 00424    Loss 0.007125 
Iteration 00425    Loss 0.007077 
Iteration 00426    Loss 0.007002 
Iteration 00427    Loss 0.006866 
Iteration 00428    Loss 0.006868 
Iteration 00429    Loss 0.006758 
Iteration 00430    Loss 0.006793 
Iteration 00431    Loss 0.006756 
Iteration 00432    Loss 0.006779 
Iteration 00433    Loss 0.006906 
Iteration 00434    Loss 0.007079 
Iteration 00435    Loss 0.007389 
Iteration 00436    Loss 0.007350 
Iteration 00437    Loss 0.007065 
Iteration 00438    Loss 0.007043 
Iteration 00439    Loss 0.006946 
Iteration 00440    Loss 0.006804 
Iteration 00441    Loss 0.006878 
Iteration 00442    Loss 0.006848 
Iteration 00443    Loss 0.006608 
Iteration 00444    Loss 0.006733 
Iteration 00445    Loss 0.006558 
Iteration 00446    Loss 0.006575 
Iteration 00447    Loss 0.006436 
Iteration 00448    Loss 0.006458 
Iteration 00449    Loss 0.006381 
Iteration 00450    Loss 0.006399 
Iteration 00451    Loss 0.006336 
Iteration 00452    Loss 0.006375 
Iteration 00453    Loss 0.006403 
Iteration 00454    Loss 0.006530 
Iteration 00455    Loss 0.006547 
Iteration 00456    Loss 0.006742 
Iteration 00457    Loss 0.006635 
Iteration 00458    Loss 0.006580 
Iteration 00459    Loss 0.006751 
Iteration 00460    Loss 0.006626 
Iteration 00461    Loss 0.006614 
Iteration 00462    Loss 0.006499 
Iteration 00463    Loss 0.006388 
Iteration 00464    Loss 0.006536 
Iteration 00465    Loss 0.006347 
Iteration 00466    Loss 0.006337 
Iteration 00467    Loss 0.006441 
Iteration 00468    Loss 0.006715 
Iteration 00469    Loss 0.006812 
Iteration 00470    Loss 0.006864 
Iteration 00471    Loss 0.006645 
Iteration 00472    Loss 0.006599 
Iteration 00473    Loss 0.006416 
Iteration 00474    Loss 0.006595 
Iteration 00475    Loss 0.006269 
Iteration 00476    Loss 0.006254 
Iteration 00477    Loss 0.006138 
Iteration 00478    Loss 0.006174 
Iteration 00479    Loss 0.006001 
Iteration 00480    Loss 0.006036 
Iteration 00481    Loss 0.005959 
Iteration 00482    Loss 0.005902 
Iteration 00483    Loss 0.005834 
Iteration 00484    Loss 0.005838 
Iteration 00485    Loss 0.005768 
Iteration 00486    Loss 0.005926 
Iteration 00487    Loss 0.006135 
Iteration 00488    Loss 0.006603 
Iteration 00489    Loss 0.006586 
Iteration 00490    Loss 0.006329 
Iteration 00491    Loss 0.006071 
Iteration 00492    Loss 0.006158 
Iteration 00493    Loss 0.006007 
Iteration 00494    Loss 0.005931 
Iteration 00495    Loss 0.005852 
Iteration 00496    Loss 0.005796 
Iteration 00497    Loss 0.005735 
Iteration 00498    Loss 0.005687 
Iteration 00499    Loss 0.005661 
Iteration 00500    Loss 0.005566 
Iteration 00501    Loss 0.005530 
Iteration 00502    Loss 0.005510 
Iteration 00503    Loss 0.005483 
Iteration 00504    Loss 0.005511 
Iteration 00505    Loss 0.005625 
Iteration 00506    Loss 0.005590 
Iteration 00507    Loss 0.005577 
Iteration 00508    Loss 0.005609 
Iteration 00509    Loss 0.005701 
Iteration 00510    Loss 0.005948 
Iteration 00511    Loss 0.006318 
Iteration 00512    Loss 0.005948 
Iteration 00513    Loss 0.005832 
Iteration 00514    Loss 0.005678 
Iteration 00515    Loss 0.005645 
Iteration 00516    Loss 0.005520 
Iteration 00517    Loss 0.005570 
Iteration 00518    Loss 0.005408 
Iteration 00519    Loss 0.005487 
Iteration 00520    Loss 0.005311 
Iteration 00521    Loss 0.005331 
Iteration 00522    Loss 0.005274 
Iteration 00523    Loss 0.005217 
Iteration 00524    Loss 0.005161 
Iteration 00525    Loss 0.005134 
Iteration 00526    Loss 0.005220 
Iteration 00527    Loss 0.005209 
Iteration 00528    Loss 0.005269 
Iteration 00529    Loss 0.005366 
Iteration 00530    Loss 0.005293 
Iteration 00531    Loss 0.005283 
